"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","outside suite1 @smoke","firefox","2025-12-30","passed","2025-12-30","","pom.spec.ts","",""
"","1799","E2E","firefox","2025-12-30","passed","2025-12-30","Suite1","pom.spec.ts","",""
"","6","outside suite1 another @smoke","firefox","2025-12-30","passed","2025-12-30","","pom.spec.ts","",""
"","3","outside suite1 @sanity","firefox","2025-12-30","passed","2025-12-30","","pom.spec.ts","",""
